apr,fixed_var,annual_fee,bk_score
16.8,Fixed,20,200
19.8,Fixed,20,200
14.9,Fixed,20,200
16.8,Variable,20,200
19.8,Variable,20,200
14.9,Variable,20,200
16.8,Fixed,0,200
19.8,Fixed,0,200
14.9,Fixed,0,200
16.8,Variable,0,200
19.8,Variable,0,200
14.9,Variable,0,200
16.8,Fixed,20,250
19.8,Fixed,20,250
14.9,Fixed,20,250
16.8,Variable,20,250
19.8,Variable,20,250
14.9,Variable,20,250
16.8,Fixed,0,250
19.8,Fixed,0,250
14.9,Fixed,0,250
16.8,Variable,0,250
19.8,Variable,0,250
14.9,Variable,0,250
16.8,Fixed,20,150
19.8,Fixed,20,150
14.9,Fixed,20,150
16.8,Variable,20,150
19.8,Variable,20,150
14.9,Variable,20,150
16.8,Fixed,0,150
19.8,Fixed,0,150
14.9,Fixed,0,150
16.8,Variable,0,150
19.8,Variable,0,150
14.9,Variable,0,150
